datetime temp humidity pressure VOC pm2.5
23-08-07 08:22:14 27 65.8 836.7 5127.0 0
23-08-07 08:27:17 27 65.8 836.8 5146.0 0
23-08-07 08:32:20 27 65.8 836.8 5161.0 0
23-08-07 08:37:22 27 65.8 836.8 5175.0 0
23-08-07 08:42:25 27 65.9 836.8 5195.0 0
23-08-07 08:47:27 27 65.8 836.9 5225.0 0
23-08-07 08:52:30 27 65.9 836.9 5220.0 0
23-08-07 08:57:33 27 65.9 836.9 5230.0 0
23-08-07 09:02:35 27 65.9 836.9 5240.0 0
23-08-07 09:07:38 27 65.9 836.9 5255.0 0
23-08-07 09:12:41 27 65.9 836.9 5265.0 0
23-08-07 09:17:43 27 65.9 837.0 5265.0 0
23-08-07 09:22:46 27 66.0 837.0 5275.0 0
23-08-07 09:27:49 27 66.0 837.0 5280.0 0
23-08-07 09:32:51 27 66.0 837.0 5305.0 0
23-08-07 09:37:54 27 66.0 837.0 5300.0 0
23-08-07 09:42:57 27 66.0 836.9 5321.0 0
23-08-07 09:47:59 27 66.1 836.9 5311.0 0
23-08-07 09:53:02 27 66.1 836.9 5316.0 0
23-08-07 09:58:05 28 66.0 837.0 5336.0 0
23-08-07 10:03:07 28 66.0 837.0 5321.0 0
23-08-07 10:08:10 28 66.0 837.0 5336.0 0
23-08-07 10:13:13 28 65.9 837.0 5336.0 0
23-08-07 10:18:15 28 65.9 837.0 5336.0 0
23-08-07 10:23:18 28 66.0 836.9 5352.0 0
23-08-07 10:28:21 28 66.1 836.9 5357.0 0
23-08-07 10:33:23 28 66.2 836.9 5378.0 0
23-08-07 10:38:26 28 65.9 836.8 5336.0 0
23-08-07 10:43:29 28 65.9 836.8 5331.0 0
23-08-07 10:48:32 28 65.5 836.8 5331.0 0
23-08-07 10:53:34 28 65.5 836.7 5336.0 0
23-08-07 10:58:37 28 65.7 836.7 5363.0 0
23-08-07 11:03:40 28 65.7 836.6 5363.0 0
23-08-07 11:08:42 28 65.7 836.6 5378.0 0
23-08-07 11:13:45 28 65.7 836.6 5373.0 0
23-08-07 11:18:47 28 65.2 836.5 5405.0 0
23-08-07 11:23:50 28 64.2 836.5 5363.0 0
23-08-07 11:28:53 28 64.4 836.4 5321.0 0
23-08-07 11:33:55 28 65.0 836.4 5373.0 0
